Name	HAF1608	HELF977	IMR90	Beas-2B	Mammary_Epithelial	MCF10A	MCF7	MDA-DB-231	ZR75-1	HeLa	Hep3B	HepG2	Huh7	MIHA	Fadu	A549	H1264	H460	H520	RVH6849	HK1	NP460	LNCaP	BicR	DKO1	DKS8	DLD1	DLD2	HCT116	SW480	143B	U2OS	HEK293	A2058	A375	SH-SY5Y	LCLB	HDMYZ	C8166	Jurkat	SUP-T1	THP-1
hsa-miR-30c-1-20-5p	1023.745122	1975.31834	337.1054536	8440.578254	7563.431095	6954.089251	1262.826605	3115.498599	2005.079384	6310.41256	368.2527209	2263.433093	1211.293821	403.6904146	4944.486015	3498.810018	4356.176041	2368.000502	2100.725872	4495.126774	1139.335817	791.1589335	2175.062198	2794.324898	886.7301988	1313.315591	1248.027312	1168.416795	3460.839837	1811.733313	157.5702665	2279.061629	4806.183242	420.3858824	1446.006514	683.4919604	5639.607883	9131.494648	2683.652792	330.8295735	6167.307718	38058.25841
hsa-miR-7641-2	12.08781706	25.73263521	11.82826153	22.17089983	53.79092403	2.174430369	1.84991289	36.61546642	19.52531227	4.655835025	866.3242623	4.705290561	13.89275442	206.6347546	24.3663968	2.347203205	3.270577853	1.381943279	1.503271135	2.911610056	8.718395815	12.10957551	2.724361608	13.59172465	3.822295828	5.243228726	5.956227422	0	0	0	0	0	4.489882948	32.05106334	7.982602967	1.167836983	1.781576651	3.581038909	5.465559099	7.745420629	1.244604962	6.090658156
hsa-miR-106a-5p	397.0382989	220.0817485	1724.133399	543.5371127	6692.699171	983.7122989	576.1222228	4873.950688	206.4304235	2380.539909	10584.12844	1722.001267	583.3413217	114.949135	425.5839596	1074.277184	739.4415672	310.6721499	2060.854851	747.4216842	958.6272489	1347.526653	3165.963597	2967.229461	2731.823677	3975.983844	3888.286952	13555.84236	39928.48502	15392.77418	457.938587	9550.94357	19347.60078	544.2477336	2554.327915	334.2472375	1636.999006	12785.20544	912.8988644	1316.119512	4397.509848	6827.119859
hsa-miR-1273d	0	6.771746108	4.107035253	9.335115718	4.778576782	3.47908859	1.952877264	8.755872404	8.712451086	7.564989915	20.77101128	4.345108585	1.852367256	17.78974708	9.462678369	3.343270035	11.9787937	4.005252138	5.924085562	7.444357113	0	0	1.617589705	4.456303162	3.648863902	3.960125211	4.020581923	7.884053949	2.854889534	0	0	4.956636862	8.420044166	19.230638	14.59976069	1.536627609	3.941063501	5.637967408	1.926272243	12.95310776	2.881574	0
hsa-miR-655-5p	7.438656653	7.448920719	0	0	0	0	0	0	0	0	0	0	0	0	0	1.044558202	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
hsa-miR-124-1-44-5p	0	0	0	0	0	5.3056101	0	0	0	0	0	0	0	0	0	1.130010686	0	0	2.143689448	1.867585247	0	0	0	0	0	1.166741209	1.32101582	0	0	0	4.924070828	1.486991059	0	0	0	4.2410922	0	0	0	1.320734779	0	1.931320158
hsa-miR-1226-5p	0	0	0	2.33377893	1.485415029	0	1.16608159	0	1.576943246	2.787243271	8.654588035	1.955391147	0	4.10532625	0	2.187832698	8.099771657	1.269918235	2.861311905	3.986126786	4.359197908	4.036525171	0	0	2.33381736	4.374230569	3.130803337	0	0	0	0	5.947964235	5.531388963	1.861029484	3.466130236	2.274208861	1.349679281	3.636232798	1.64114047	1.177637348	5.054366386	0
hsa-miR-4445-3p	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	1.470479494	0	0	0	0	0	0	0
hsa-miR-3124-5p	0	0	0	0	0	0	1.236671046	0	0	0	0	0	0	0	0	0	0	0	1.253637194	1.51691411	2.377744313	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	1.164294209	0
hsa-miR-1288-5p	0	0	0	0	1.441617546	0	0	0	0	0	0	0	0	0	0	1.075460716	1.252107532	0	0	0	0	0	2.043271206	5.570378953	0	1.000417491	0	0	0	0	0	0	1.208446478	0	0	0	0	0	1.274248202	0	1.164674964	0
